trip_id,driver_id,pickup_time,dropoff_time,pickup_location,fare_amount,status
3f4dddf0-4f13-4cc9-b802-b9e9762413fd,12,2025-07-04T09:57:09.908505,2025-07-04T10:52:09.908505,Stadium,10.48,cancelled
879b8fdc-c18c-4060-acc3-18db99c9297a,42,2025-07-05T07:57:09.908605,2025-07-05T08:47:09.908605,Airport,70.05,cancelled
33df0cd7-6a13-4f3d-aa66-d8843f62c7a7,44,2025-07-04T20:57:09.908640,2025-07-04T21:49:09.908640,Stadium,83.59,completed
b558e696-7aba-49ee-acbf-8be342b00df7,23,2025-07-04T16:57:09.908674,2025-07-04T17:48:09.908674,Downtown,11.94,completed
619730f0-dc08-4987-8c1e-20edb87ff9f6,42,2025-07-03T12:57:09.908701,2025-07-03T13:57:09.908701,University,51.2,completed
65701f12-5660-4880-9f21-c6847e6d8da0,22,2025-07-04T08:57:09.908727,2025-07-04T09:24:09.908727,University,6.82,completed
4768ee51-900f-4d12-bb2d-f67df0d13285,32,2025-07-05T11:57:09.908744,2025-07-05T12:03:09.908744,University,15.31,cancelled
3cf335f8-3121-4487-a04c-b9589d7b8f0e,44,2025-07-04T22:57:09.908759,2025-07-04T23:30:09.908759,Airport,16.15,cancelled
55a5d4a9-6f0e-47c2-9e89-172d0436bf72,47,2025-07-04T13:57:09.908781,2025-07-04T14:13:09.908781,Stadium,73.87,no_show
7e7de7d3-a0df-46fa-8098-c13873a9e8c8,28,2025-07-05T10:57:09.908797,2025-07-05T11:25:09.908797,Stadium,46.55,completed
ce07280b-6f67-4d82-998e-c8de6fbc0351,46,2025-07-03T14:57:09.908812,2025-07-03T15:19:09.908812,Downtown,82.22,completed
22c4d11c-4df5-4a27-92fb-f16de2ce785b,9,2025-07-04T05:57:09.908836,2025-07-04T06:29:09.908836,Stadium,6.26,completed
48815022-24ce-4179-9368-64dc82cfde3f,18,2025-07-04T14:57:09.908857,2025-07-04T15:40:09.908857,Stadium,12.1,cancelled
